name,code,bin,short_name,swift_code,logo
Ngân hàng TNHH MTV CIMB Việt Nam,CIMB,422589,CIMB,CIBBVNVN,https://static-assets.fxce.net/bank-logo/422589.png
Ngân hàng TNHH MTV HSBC (Việt Nam),HSBC,458761,HSBC,HSBCVNVX,https://static-assets.fxce.net/bank-logo/458761.png
"Ngân hàng Citibank, N.A. - Chi nhánh Hà Nội",CITIBANK,533948,Citibank,,https://static-assets.fxce.net/bank-logo/533948.png
TMCP Việt Nam Thịnh Vượng - Ngân hàng số CAKE by VPBank,CAKE,546034,CAKE,,https://static-assets.fxce.net/bank-logo/546034.png
TMCP Việt Nam Thịnh Vượng - Ngân hàng số Ubank by VPBank,Ubank,546035,Ubank,,https://static-assets.fxce.net/bank-logo/546035.png
Ngân hàng Đại chúng TNHH Kasikornbank,KBank,668888,KBank,KASIVNVX,https://static-assets.fxce.net/bank-logo/668888.png
DBS Bank Ltd - Chi nhánh Thành phố Hồ Chí Minh,DBS,796500,DBSBank,DBSSVNVX,https://static-assets.fxce.net/bank-logo/796500.png
Ngân hàng Nonghyup - Chi nhánh Hà Nội,NonghyupHN,801011,Nonghyup - HN,,https://static-assets.fxce.net/bank-logo/801011.png
Ngân hàng số Liobank by OCB,LIOBANK,963369,Liobank,,https://static-assets.fxce.net/bank-logo/963369.png
Ngân hàng số Timo by Ban Viet Bank (Timo by Ban Viet Bank),TIMO,963388,Timo,,https://static-assets.fxce.net/bank-logo/963388.png
Ngân hàng số UMEE by Kienlongbank,UMEE,963399,Umee,,https://static-assets.fxce.net/bank-logo/963399.png
Ngân hàng TMCP Sài Gòn Công Thương,SGICB,970400,SaigonBank,SBITVNVX,https://static-assets.fxce.net/bank-logo/970400.png
Ngân hàng TMCP Sài Gòn Thương Tín,STB,970403,Sacombank,SGTTVNVX,https://static-assets.fxce.net/bank-logo/970403.png
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,VBA,970405,Agribank,VBAAVNVX,https://static-assets.fxce.net/bank-logo/970405.png
Ngân hàng TMCP Đông Á,DOB,970406,DongABank,EACBVNVX,https://static-assets.fxce.net/bank-logo/970406.png
Ngân hàng TMCP Kỹ thương Việt Nam,TCB,970407,Techcombank,VTCBVNVX,https://static-assets.fxce.net/bank-logo/970407.png
Ngân hàng Thương mại TNHH MTV Dầu Khí Toàn Cầu,GPB,970408,GPBank,GBNKVNVX,https://static-assets.fxce.net/bank-logo/970408.png
Ngân hàng TMCP Bắc Á,BAB,970409,BacABank,NASCVNVX,https://static-assets.fxce.net/bank-logo/970409.png
Ngân hàng TNHH MTV Standard Chartered Bank Việt Nam,SCVN,970410,StandardChartered,SCBLVNVX,https://static-assets.fxce.net/bank-logo/970410.png
Ngân hàng TMCP Đại Chúng Việt Nam,PVCB,970412,PVcomBank,WBVNVNVX,https://static-assets.fxce.net/bank-logo/970412.png
Ngân hàng TNHH MTV Việt Nam Hiện Đại,MBV,970414,ModernBank,OCBKUS3M,https://static-assets.fxce.net/bank-logo/970414.png
Ngân hàng TMCP Công thương Việt Nam,ICB,970415,VietinBank,ICBVVNVX,https://static-assets.fxce.net/bank-logo/970415.png
Ngân hàng TMCP Á Châu,ACB,970416,ACB,ASCBVNVX,https://static-assets.fxce.net/bank-logo/970416.png
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDV,970418,BIDV,BIDVVNVX,https://static-assets.fxce.net/bank-logo/970418.png
Ngân hàng TMCP Quốc Dân,NCB,970419,NCB,NVBAVNVX,https://static-assets.fxce.net/bank-logo/970419.png
Ngân hàng Liên doanh Việt - Nga,VRB,970421,VRB,,https://static-assets.fxce.net/bank-logo/970421.png
Ngân hàng TMCP Quân đội,MB,970422,MBBank,MSCBVNVX,https://static-assets.fxce.net/bank-logo/970422.png
Ngân hàng TMCP Tiên Phong,TPB,970423,TPBank,TPBVVNVX,https://static-assets.fxce.net/bank-logo/970423.png
Ngân hàng TNHH MTV Shinhan Việt Nam,SHBVN,970424,ShinhanBank,SHBKVNVX,https://static-assets.fxce.net/bank-logo/970424.png
