code,payment_method_code,bank_code
ABBANK,gate3,ABB
ACB,gate3,ACB
AGRIBANK,gate3,VBA
BIDV,gate3,BIDV
CIMB,gate3,CIMB
EXIMBANK,gate3,EIB
GPBANK,gate3,GPB
HDBANK,gate3,HDB
IVB,gate3,IVB
KIENLONGBANK,gate3,KLB
NAMABANK,gate3,NAB
NCB,gate3,NCB
OCB,gate3,OCB
OCEANBANK,gate3,MBV
PGBANK,gate3,PGB
SACOMBANK,gate3,STB
SAIGONBANK,gate3,SGICB
SCB,gate3,SCB
SEABANK,gate3,SEAB
SHB,gate3,SHB
TECHCOMBANK,gate3,TCB
TPBANK,gate3,TPB
UOB,gate3,UOB
VIB,gate3,VIB
VIETABANK,gate3,VAB
VIETBANK,gate3,VIETBANK
VIETINBANK,gate3,ICB
VPBANK,gate3,VPB
VRB,gate3,VRB
WOORIBANK,gate3,WVN
VIETCAPITALBANK,gate3,VCCB
VCB,gate3,VCB
SHINHAN,gate3,SHBVN
PVBANK,gate3,PVCB
PBVN,gate3,PBVN
IBK,gate3,IBKHCM
VIETINBANK,gate1,ICB
BIDV,gate1,BIDV
AGRIBANK,gate1,VBA
VIETCOMBANK,gate1,VCB
BAOVIETBANK,gate1,BVB
TPBANK,gate1,TPB
BANVIET,gate1,VCCB
LIENVIETPOSTBANK,gate1,LPB
PVCOMBANK,gate1,PVCB
VIETABANK,gate1,VAB
VIETBANK,gate1,VIETBANK
ACB,gate1,ACB
ABBANK,gate1,ABB
BAB,gate1,BAB
OCEANBANK,gate1,MBV
GPBANK,gate1,GPB
DONGABANK,gate1,DOB
SEABANK,gate1,SEAB
MSB,gate1,MSB
KIENLONGBANK,gate1,KLB
TECHCOMBANK,gate1,TCB
NAMABANK,gate1,NAB
HDBANK,gate1,HDB
OCB,gate1,OCB
MBBANK,gate1,MB
VIB,gate1,VIB
SCB,gate1,SCB
SHB,gate1,SHB
SACOMBANK,gate1,STB
SAIGONBANK,gate1,SGICB
VPBANK,gate1,VPB
PGBANK,gate1,PGB
EXIMBANK,gate1,EIB
IVB,gate1,IVB
VRB,gate1,VRB
PUBLICBANK,gate1,PBVN
WOORIBANK,gate1,WVN
NCB,gate1,NCB
SHINHANBANK,gate1,SHBVN
HLB,gate1,HLBVN
UOB,gate1,UOB
CIMB,gate1,CIMB
BIDV,gate2,BIDV
HLBVN,gate2,HLBVN
CIMB,gate2,CIMB
HSBCVN,gate2,HSBC
VB,gate2,VIETBANK
TCB,gate2,TCB
EAB,gate2,DOB
EIB,gate2,EIB
IVB,gate2,IVB
PVCB,gate2,PVCB
MSB,gate2,MSB
ABB,gate2,ABB
NASB,gate2,BAB
VIB,gate2,VIB
WOO,gate2,WVN
TPB,gate2,TPB
SHB,gate2,SHB
LPB,gate2,LPB
MB,gate2,MB
NAB,gate2,NAB
GPB,gate2,GPB
OJB,gate2,MBV
VRB,gate2,VRB
ACB,gate2,ACB
CTG,gate2,ICB
BVB,gate2,BVB
SGB,gate2,SGICB
VCB,gate2,VCB
UOB,gate2,UOB
PGB,gate2,PGB
NVB,gate2,NCB
PBVN,gate2,PBVN
KLB,gate2,KLB
VCCB,gate2,VCCB
STB,gate2,STB
VARB,gate2,VBA
SEAB,gate2,SEAB
SCB,gate2,SCB
VAB,gate2,VAB
VPB,gate2,VPB
SVB,gate2,SHBVN
OCB,gate2,OCB
HDB,gate2,HDB
MB,gate3,MB
MARITIMEBANK,gate3,MSB
LPB,gate3,LPB
HONGLEONG,gate3,HLBVN
DAB,gate3,DOB
COOPBANK,gate3,COOPBANK
BVBANK,gate3,BVB
BACA,gate3,BAB
VCB,gate4,VCB
VIB,gate4,VIB
MB,gate4,MB
ICB,gate4,ICB
HDB,gate4,HDB
NVB,gate4,NCB
MSB,gate4,MSB
VAB,gate4,VAB
GPB,gate4,GPB
OJB,gate4,MBV
ABB,gate4,ABB
BIDV,gate4,BIDV
BVB,gate4,BVB
LVB,gate4,LPB
TPB,gate4,TPB
AGB,gate4,VBA
SHB,gate4,SHB
SCB,gate4,SCB
STB,gate4,STB
SGB,gate4,SGICB
KLB,gate4,KLB
SEA,gate4,SEAB
VRB,gate4,VRB
PBVN,gate4,PBVN
NAB,gate4,NAB
PVCB,gate4,PVCB
TCB,gate4,TCB
EXB,gate4,EIB
ACB,gate4,ACB
VPB,gate4,VPB
KEBHANAHN,gate4,KEBHANAHN
OCB,gate4,OCB
PGB,gate4,PGB
UOB,gate4,UOB
IVB,gate4,IVB
WRB,gate4,WVN
SHNB,gate4,SHBVN
VCCB,gate4,VCCB
VB,gate4,VIETBANK
BAB,gate4,BAB
IBKHN,gate4,IBKHN
IBKHCM,gate4,IBKHCM
CTB,gate4,CITIBANK
MAFC,gate4,MAFC
KASIKORNBANK,gate4,KBank
KEBHANAHCM,gate4,KEBHANAHCM
KOOKMINHN,gate4,KBHN
KOOKMINHCM,gate4,KBHCM
HSBC,gate4,HSBC
HONLEONGBANK,gate4,HLBVN
SC,gate4,SCVN
CBB,gate4,CBB
VNSPB,gate4,VBSP
DBS,gate4,DBS
NONGHYUPBANK,gate4,NonghyupHN
COOPBANK,gate4,COOPBANK
CIMB,gate4,CIMB
CAKEVPB,gate4,CAKE
LIOBANK,gate4,LIOBANK
UMEEKLB,gate4,UMEE
UBANKVPB,gate4,Ubank
TIMOB,gate4,TIMO
VNPTMONEY,gate4,VNPTMONEY
VIETELMONEY,gate4,VTLMONEY
DAB,gate4,DOB
